eps1          u            sigma3        sigma3'       sigma1       sigma1'       p             q
[%]          [kPa]         [kPa]         [kPa]         [kPa]        [kPa]         [kPa]         [kPa] 

-0.1720      218.6020      300.4721      81.8701      267.2749      48.6729      70.8044      -33.1972
-0.1720      218.7160      300.4630      81.7470      267.2555      48.5395      70.6778      -33.2075
-0.1730      218.8000      300.4808      81.6808      267.2324      48.4324      70.5980      -33.2484
-0.1740      218.8890      300.4357      81.5467      267.2863      48.3973      70.4969      -33.1494
-0.1740      218.9990      300.4905      81.4915      267.3283      48.3293      70.4374      -33.1622
-0.1750      219.0980      300.4352      81.3372      267.2927      48.1947      70.2897      -33.1425
-0.1760      219.1830      300.4449      81.2619      267.2944      48.1114      70.2117      -33.1505
-0.1760      219.2750      300.5460      81.2710      267.2903      48.0153      70.1858      -33.2557
-0.1770      219.3590      300.4903      81.1313      267.3125      47.9535      70.0720      -33.1778
-0.1780      219.4140      300.4811      81.0671      267.2635      47.8495      69.9946      -33.2176
-0.1780      219.5430      300.5273      80.9843      267.2497      47.7067      69.8918      -33.2776
-0.1790      219.6050      300.4442      80.8392      267.3035      47.6985      69.7923      -33.1407
-0.1800      219.7010      300.4630      80.7620      267.3177      47.6167      69.7136      -33.1453
-0.1800      219.8700      300.4079      80.5379      267.3299      47.4599      69.5119      -33.0780
-0.1810      219.8960      300.5183      80.6223      267.3450      47.4490      69.5645      -33.1733
-0.1820      220.0100      300.4724      80.4624      267.3767      47.3667      69.4305      -33.0957
-0.1820      220.1200      300.4630      80.3430      267.3712      47.2512      69.3124      -33.0918
-0.1830      220.1860      300.4996      80.3136      267.3371      47.1511      69.2594      -33.1625
-0.1840      220.2890      300.5364      80.2474      267.3250      47.0360      69.1769      -33.2114
-0.1840      220.3620      300.5083      80.1463      267.3743      47.0123      69.1016      -33.1340
-0.1850      220.4510      300.5000      80.0490      267.3367      46.8857      68.9946      -33.1633
-0.1860      220.5090      300.5359      80.0269      267.3529      46.8439      68.9659      -33.1830
-0.1860      220.5870      300.5183      79.9313      267.3650      46.7780      68.8802      -33.1533
-0.1870      220.7120      300.4817      79.7697      267.3583      46.6463      68.7286      -33.1234
-0.1880      220.8030      300.4073      79.6043      267.4385      46.6355      68.6147      -32.9688
-0.1880      220.8990      300.5547      79.6557      267.3630      46.4640      68.5918      -33.1917
-0.1890      220.9390      300.4348      79.4958      267.4247      46.4857      68.4924      -33.0101
-0.1900      221.0680      300.4352      79.3672      267.4756      46.4076      68.3807      -32.9596
-0.1900      221.1270      300.5272      79.4002      267.3576      46.2306      68.3437      -33.1696
-0.1910      221.2000      300.4808      79.2808      267.3924      46.1924      68.2513      -33.0884
-0.1910      221.3290      300.4445      79.1155      267.4297      46.1007      68.1106      -33.0148
-0.1920      221.3920      300.5184      79.1264      267.4244      46.0324      68.0951      -33.0940
-0.1930      221.4500      300.4442      78.9942      267.4250      45.9750      67.9878      -33.0192
-0.1930      221.5860      300.5268      78.9408      267.3634      45.7774      67.8863      -33.1634
-0.1940      221.6490      300.5457      78.8967      267.4210      45.7720      67.8551      -33.1247
-0.1950      221.7330      300.4993      78.7663      267.5026      45.7696      67.7674      -32.9967
-0.1960      221.8180      300.4905      78.6725      267.4651      45.6471      67.6640      -33.0254
-0.1960      221.9130      300.5359      78.6229      267.4398      45.5268      67.5909      -33.0961
-0.1970      221.9800      300.4357      78.4557      267.4264      45.4464      67.4526      -33.0093
-0.1980      222.0640      300.5086      78.4446      267.4997      45.4357      67.4416      -33.0089
-0.1980      222.1300      300.4166      78.2866      267.5054      45.3754      67.3162      -32.9112
-0.1990      222.2150      300.4722      78.2572      267.4500      45.2350      67.2498      -33.0222
-0.1990      222.3210      300.4900      78.1690      267.4741      45.1531      67.1637      -33.0159
-0.2000      222.3840      300.4446      78.0606      267.4953      45.1113      67.0775      -32.9493
-0.2010      222.5050      300.4168      77.9118      267.4648      44.9598      66.9278      -32.9520
