eps1         u            sigma3        sigma3'       sigma1        sigma1'       p             q
[%]         [kPa]         [kPa]         [kPa]         [kPa]         [kPa]         [kPa]         [kPa] 

0.2128      289.1040      400.1750      111.0710      520.7940      231.6900      151.2773      120.6190
0.2138      289.2290      400.2120      110.9830      520.9350      231.7060      151.2240      120.7230
0.2138      289.3460      400.2480      110.9020      521.0230      231.6770      151.1603      120.7750
0.2148      289.4600      400.1930      110.7330      521.2080      231.7480      151.0713      121.0150
0.2158      289.5700      400.2660      110.6960      521.3910      231.8210      151.0710      121.1250
0.2158      289.6840      400.1650      110.4810      521.5290      231.8450      150.9357      121.3640
0.2168      289.8090      400.1650      110.3560      521.6530      231.8440      150.8520      121.4880
0.2178      289.9450      400.1650      110.2200      521.8010      231.8560      150.7653      121.6360
0.2188      290.0630      400.1650      110.1020      521.9610      231.8980      150.7007      121.7960
0.2188      290.1580      400.2110      110.0530      522.1070      231.9490      150.6850      121.8960
0.2198      290.2940      400.2200      109.9260      522.2610      231.9670      150.6063      122.0410
0.2198      290.3940      400.1840      109.7900      522.4190      232.0250      150.5350      122.2350
0.2208      290.5190      400.2300      109.7110      522.5400      232.0210      150.4810      122.3100
